aburguesado;adj.;aburguesar
aburguesam;s.m.;aburguesar
abusa;adj.;abusar
abusado;adj.;abusar
abusam;s.m.;abusar
abuse;v.;abusar
abuso;s.m.;abusar
acaba;s.f.;acabar
acabado;adj. s.m.;acabar
acabadora;s.f.;acabador
acabadora;s.f.;acabador
acabam;s.m.;acabar
acabando;adj.;acabar
acabe;s.f.;acabar
acabo;s.m.;acabar
acabrunhado;adj.;acabrunhar
academia;s.f. "associação"; cf. acadêmia;academiar
acalca;adj.;acalcar
acalcado;adj.;acalcar
acalcam;s.m.;acalcar
acalce;s.f.;acalçar
acalco;s.m.;acalcar
acalenta;s.m.; pl. acalenta-meninos;acalentar
acalentado;adj.;acalentar
acalentam;s.m.;acalentar
acalento;s.m.;acalentar
acalma;s.f.;acalmar
acalmado;adj.;acalmar
acalmam;s.m.;acalmar
acalmo;s.m.;acalmar
acalora;adj.;acalorar
acalorado;adj.;acalorar
acaloram;s.m.;acalorar
acama;s.m.f.;acamar
acamado;adj.;acamar
acamam;s.m.;acamar
acamara;adj.;acamar
acame;s.m.;acamar
acamo;s.m.;acamar
acamou;adj.;acamar
acampa;adj.;acampar
acampado;adj.;acampar
acampai;adj.;acampar
acampam;adj. s.2g.;acampar
acampo;s.m.;acampar
acanha;s.f.;acanhar
acanhada;adj. s.m.; f. acanhadona;acanhado
acanhada;adj. s.m.; f. acanhadona;acanhar
acanhado;adj.;acanhar
acanham;s.m.;acanhar
acanhara;s.m.;acanhar
acanho;s.m.;acanhar
acantona;s.f.;acantonar
acantonada;s.f.;acantonar
acantonado;adj.;acantonar
acantonam;s.m.;acantonar
acantone;s.m.;acantonar
acantonem;s.m.;acantonar
acantono;s.m.;acantonar
acaricia;s.f.;acariciar
acariciado;adj.;acariciar
acariciam;s.m.;acariciar
acarinha;adj.;acarinhar
acarinhado;adj.;acarinhar
acarinham;s.m.;acarinhar
acarreta;s.m.2n.;acarretar
acarretado;adj.;acarretar
acarretam;s.m.;acarretar
acarreto;s.m.; cf. acarreto, fl. do v. acarretar;acarretar
acasala;s.f.;acasalar
acasalado;adj.;acasalar
acasalam;s.m.;acasalar
acastanhado;adj.;acastanhar
acastela;adj.;acastelar
acastelado;adj.;acastelar
acastelam;s.m.;acastelar
acata;s.m.;acatar
acatado;adj.;acatar
acatai;s.f.;acatar
acatam;s.f.;acatar
acatara;adj.;acatar
acatas;s.m.;acatar
acate;s.f.;acatar
acates;s.f.;acatar
acato;s.m. "acatamento"; cf. ácato;acatar
acautela;s.f.;acautelar
acautelado;adj.;acautelar
acautelam;s.m.;acautelar
acavalado;adj.;acavalar
aceda;s.m.;aceder
acede;s.m.;aceder
acedi;s.f. "inércia"; cf. "assedia", fl. do v. assediar;aceder
acedia;s.f. "inércia"; cf. "assedia", fl. do v. assediar;aceder
acediam;s.f.;aceder
aceita;s.f.;aceito
aceita;s.f.;aceitar
aceitado;adj.;aceitar
aceitam;s.m.;aceitar
aceite;adj.2g. s.m.;aceitar
aceito;adj. s.m.;aceitar
acelera;s.f.;acelerar
acelerado;adj. s.m.;acelerar
aceleram;s.m.;acelerar
acelerando;s.m. adv.;acelerar
acelero;s.f.;acelerar
acena;s.f.;acenar
acenado;adj. s.m.;acenar
acenam;s.m.;acenar
acenda;s.f.;acender
acende;s.f.; pl. acende-candeias;acender
acendi;s.f.;acender
acendido;adj. "aceso"; cf. ascendido;acender
acene;s.f.;acenar
acenes;s.f.;acenar
aceno;s.m.;acenar
acenos;adj.; f. (ó); pl. (ó);aceno
acentua;s.f.;acentuar
acentuado;adj.;acentuar
acepipe;s.m.;acepipar
acerba;v.;acerbo
acerba;v.;acerbar
acerbo;adj.;acerbar
acerca;adv. na loc. acerca de; cf. acerca, fl. do v. acercar;acercar
acercado;adj.;acercar
acercam;s.m.;acercar
acerta;s.f.;acertar
acertada;s.f.;acertar
acertado;adj.;acertar
acertam;s.m.;acertar
acerto;s.m. "tino"; cf. acerto, fl. do v. acertar, e asserto (ê);acertar
acervo;s.m.;acervar
acervos;adj.; f. (ó); pl. (ó);acervo
aceso;adj. s.m.;acender
acetina;s.f.;acetinar
acetinado;adj.;acetinar
acetonas;s.m.f.;acetona
acha;s.f.;achar
achada;s.f.;achado
achada;s.f.;achado
achada;s.f.;achar
achado;adj. s.m.;achar
acham;adj.;achar
achaque;s.m.;achacar
achara;s.m.;achar
acharam;s.m.;achar
achata;s.f.;achatar
achatado;adj.;achatar
achatam;s.m.;achatar
achava;s.f.;achar
achavas;adj. s.m.;achar
ache;s.m.f. "aipo"; cf. axe, axe (cs) e axé;achar
achega;s.f.;achegar
achegado;adj. s.m.;achegar
achegam;s.m.;achegar
achego;s.m.;achegar
achei;s.f.;achar
achem;adj. s.2g.;achar
achincalha;s.f.;achincalhar
achincalhado;adj.;achincalhar
achincalham;s.m.;achincalhar
achincalhe;s.m.;achincalhar
achincalho;s.m.;achincalhar
achinela;adj.;achinelar
achinelado;adj.;achinelar
achinesa;adj.;achinesar
achinesado;adj.;achinesar
acho;adj.;achar
achocolatado;adj.;achocolatar
achou;s.m.;achar
acicata;adj.;acicatar
acicatado;adj.;acicatar
acicate;s.m.;acicatar
acida;s.f.;acidar
acidado;adj.;acidar
acidam;s.f.;acidar
acidas;s.f.;acidar
acide;s.f.;acidar
acidem;s.f.;acidar
acidenta;s.f.;acidentar
acidentado;adj. s.m.;acidentar
acidente;s.m.;acidentar
acidento;s.m.;acidentar
acidifica;s.f.;acidificar
acidificado;adj.;acidificar
acido;adj. s.m.;acidar
acima;adv.;acimar
acinza;adj.;acinzar
acinzado;adj.;acinzar
acinzam;s.m.;acinzar
acinze;adj.;acinzar
acinzei;adj.;acinzar
acinzenta;adj.;acinzentar
acinzentado;adj.;acinzentar
acinzentam;s.m.;acinzentar
aciona;s.f.;acionar
acionado;adj. s.m.;acionar
acionam;s.m.;acionar
acionaria;s.m.;acionar
acirra;adj.;acirrar
acirrado;adj.;acirrar
acirram;s.m.;acirrar
acitrina;s.f.;acitrinar
acitrinado;adj.;acitrinar
aclama;s.f.;aclamar
aclamado;adj.;aclamar
aclara;s.f.;aclarar
aclarado;adj.;aclarar
aclaram;s.m.;aclarar
aclare;v.;aclarar
aclima;s.f.;aclimar
aclimado;adj.;aclimar
aclimam;s.m.;aclimar
aclimata;s.f.;aclimatar
aclimatado;adj.;aclimatar
aclimatiza;s.f.;aclimatizar
aclimatizado;adj.;aclimatizar
acnes;s.f.;acne
acobarda;adj.;acobardar
acobardado;adj.;acobardar
acobardam;s.m.;acobardar
acoberta;adj. s.m.;acobertar
acobertado;adj. s.m.;acobertar
acobertam;s.m.;acobertar
acoberto;adj.;acobertar
acocado;adj.;acocar
acocora;s.f.;acocorar
acocorado;adj.;acocorar
acocoram;s.m.;acocorar
acoima;adj.;acoimar
acoimado;adj.;acoimar
acoimam;s.m.;acoimar
acoita;s.m.; pl. açoita-cavalos;acoitar
acoitada;adj.;acoitado
acoitada;adj.;acoitar
acoitado;adj.;acoitar
acoitam;s.m.;acoitar
acoite;s.m.;acoitar
acoitei;s.f.;acoitar
acoito;s.m.;acoitar
acolcheta;adj.;acolchetar
acolchetado;adj.;acolchetar
acolchetam;s.m.;acolchetar
acolchoa;s.f.;acolchoar
acolchoado;adj. s.m.;acolchoar
acolchoam;s.m.;acolchoar
acolhe;adj. s.m.;acolher
acolhei;s.f.;acolher
acolhera;adj.;acolher
acolhi;s.f.;acolher
acolhida;s.f.;acolhido
acolhida;s.f.;acolhido
acolhida;s.f.;acolher
acolhido;adj.;acolher
acolho;s.m.; cf. acolho, fl. do v. acolher;acolher
acomete;adj. s.m.;acometer
acometi;s.f.;acometer
acometida;s.f.;acometido
acometida;s.f.;acometido
acometida;s.f.;acometer
acometido;adj.;acometer
acomoda;s.f.;acomodar
acomodado;adj.;acomodar
acomodam;s.m.;acomodar
acomodo;adj. s.m.; cf. acomodo, fl. do v. acomodar;acomodar
acompadra;s.f.;acompadrar
acompadrado;adj. s.m.;acompadrar
acompadram;s.m.;acompadrar
acompanha;s.f.;acompanhar
acompanhado;adj. s.m.;acompanhar
acompanham;s.m.;acompanhar
acompassa;adj.;acompassar
acompassado;adj.;acompassar
acomprida;adj.;acompridar
acompridado;adj.;acompridar
aconchega;adj.;aconchegar
aconchegado;adj.;aconchegar
aconchego;s.m.;aconchegar
acondiciona;s.f.;acondicionar
acondicionado;adj.;acondicionar
acondicionam;s.m.;acondicionar
acondimenta;s.f.;acondimentar
acondimentado;adj.;acondimentar
aconselha;s.f.;aconselhar
aconselhado;adj.;aconselhar
aconselham;s.m.;aconselhar
aconsoanta;adj.;aconsoantar
aconsoantado;adj.;aconsoantar
acontece;v.;acontecer
aconteci;adj. s.m.;acontecer
acontecido;adj. s.m.;acontecer
acopla;s.f.;acoplar
acoplado;adj.;acoplar
acoplam;s.m.;acoplar
acorda;s.f.;acordar
acordada;s.f.;acordado
acordada;s.f.;acordar
acordado;adj.;acordar
acordam;fl. do v. acordar;acordar
acorde;adj.2g. s.m.;acordar
acordo;s.m.; cf. acordo, fl. do v. acordar;acordar
acoronha;adj.;acoronhar
acoronhado;adj.;acoronhar
acorre;adj. s.m.;acorrer
acorrei;adj.;acorrer
acorrenta;adj.;acorrentar
acorrentado;adj.;acorrentar
acorrentam;s.m.;acorrentar
acorri;adj.;acorrer
acorrido;adj.;acorrer
acorro;s.m.;acorrer
acossa;s.f.;acossar
acossado;adj.;acossar
acossam;s.m.;acossar
acosso;s.m.; cf. acosso, fl. do v. acossar;acossar
acosta;s.f.;acostar
acostado;adj. s.m.;acostar
acostam;s.m.;acostar
acoste;adj.;acostar
acosto;s.m.; cf. acosto, fl. do v. acostar;acostar
acostuma;s.f.;acostumar
acostumado;adj. s.m.;acostumar
acostumam;s.m.;acostumar
acostume;adj.;acostumar
acotovela;s.f.;acotovelar
acotovelada;s.f.;acotovelado
acotovelada;s.f.;acotovelar
acotovelado;adj.;acotovelar
acotovelam;s.m.;acotovelar
acovarda;adj.;acovardar
acovardado;adj.;acovardar
acovardam;s.m.;acovardar
acredita;s.f.;acreditar
acreditado;adj. s.m.;acreditar
acresce;s.f.;acrescer
acrescenta;adj. s.m.;acrescentar
acrescentado;adj. s.m.;acrescentar
acrescentam;s.m.;acrescentar
acrescente;adj.2g. s.m.;acrescentar
acrescento;s.m.;acrescentar
acresci;s.f.pl.;acrescer
acrescida;s.f.pl.;acrescido
acrescida;s.f.pl.;acrescido
acrescida;s.f.pl.;acrescer
acrescidas;s.f.pl.;acrescido
acrescidas;s.f.pl.;acrescido
acrescidas;s.f.pl.;acrescer
acrescido;adj. s.m.;acrescer
acromatiza;s.f.;acromatizar
acromatizado;adj.;acromatizar
acuda;s.f.;acudir
acudam;s.m.;acudir
acudi;adj.;acudir
acudido;adj.;acudir
acumula;s.f.;acumular
acumulada;s.f.;acumulado
acumulada;s.f.;acumular
acumulado;adj.;acumular
acumulam;s.m.;acumular
acumulo;s.m.; cf. acumulo, fl. do v. acumular;acumular
acupuntura;s.f.;acupunturar
acura;s.f.;acurar
acurado;adj.;acurar
acure;s.f.;acurar
acurrala;adj.;acurralar
acurralado;adj.;acurralar
acurralam;s.m.;acurralar
acurva;adj.;acurvar
acurvado;adj.;acurvar
acurvam;s.m.;acurvar
acurve;adj.;acurvar
acusa;s.2g.2n.;acusar
acusado;adj. s.m.;acusar
acusam;s.m.;acusar
acuse;s.m.;acusar
acuso;s.m.;acusar
acutila;adj.;acutilar
acutilado;adj.;acutilar
acutilam;s.m.;acutilar
acutilo;adj.;acutilar
ada;s.f.;adir
adagia;adj.2g.;adagiar
adagie;s.m.;adagiar
adagiei;s.m.;adagiar
adagio;s.m. adj.; cf. adagio, fl. do v. adagiar;adagiar
adam;adj.;adir
adamado;adj.;adamar
adamasca;adj.;adamascar
adamascado;adj.;adamascar
adapta;s.f.;adaptar
adaptado;adj.;adaptar
adaptam;s.m.;adaptar
adas;s.f.;adir
ade;s.m. "coroa usada no candomblé"; cf. ade;adir
adega;s.f.;adegar
adegado;adj.;adegar
adegue;s.m.;adegar
adeguei;s.m.;adegar
adeja;adj.;adejar
adejado;adj.;adejar
adejo;adj. s.m.;adejar
adem;s.2g.;adir
adensa;adj. s.2g.2n.;adensar
adensado;adj.;adensar
adensam;s.m.;adensar
adenta;s.f.;adentar
adentada;s.f.;adentar
adentado;adj.;adentar
adentra;adj.;adentrar
adentrado;adj.;adentrar
adentram;s.m.;adentrar
adentro;adv.;adentrar
adequa;s.f.;adequar
adequado;adj.;adequar
adere;adj.;aderir
aderi;adj.;aderir
aderido;adj.;aderir
ades;s.f.;adir
adesiva;adj.;adesivo
adesiva;adj.;adesivo
adestra;s.f.;adestro
adestra;s.f.;adestrar
adestrado;adj.;adestrar
adestram;s.m.;adestrar
adestras;s.f.pl.; cf. adestras, fl. do v. adestrar;adestro
adestras;s.f.pl.; cf. adestras, fl. do v. adestrar;adestrar
adestro;adj.; cf. adestro, fl. do v. adestrar;adestrar
adeusa;adj.;adeusar
adeusado;adj.;adeusar
adeusam;s.m.;adeusar
adi;s.m.f.;adir
adia;s.f.; cf. adia, fl. do v. adiar;adiar
adiado;adj.;adiar
adiam;adj.;adiar
adiamanta;adj.;adiamantar
adiamantado;adj.;adiamantar
adianta;s.f.;adiantar
adiantado;adj. s.m.;adiantar
adiantam;s.m.;adiantar
adiante;s.m. adv. interj.; na loc. adiante de;adiantar
adianto;s.m.;adiantar
adias;s.f.;adiar
adiciona;s.f.;adicionar
adicionado;adj.;adicionar
adicionam;s.m.;adicionar
adida;s.f.;adido
adida;s.f.;adido
adida;s.f.;adir
adido;adj. s.m.;adir
adie;s.f.;adiar
adiem;s.f.;adiar
adieta;s.f.;adietar
adietado;adj.;adietar
adio;interj.;adiar
adiposa;s.f.;adiposo
adiposa;s.f.;adiposo
adira;s.m.;aderir
adis;adj.2g.;adir
adita;s.f.;aditar
aditado;adj.;aditar
aditam;s.m.;aditar
aditiva;s.f.;aditivo
aditiva;s.f.;aditivo
adito;adj. s.m.; cf. adito, fl. do v. aditar;aditar
adivinha;s.f.; cf. advinha, fl. do v. advir;adivinhar
adivinhado;adj.;adivinhar
adivinham;s.m.;adivinhar
adivinhe;s.m.2n.;adivinhar
adivinho;adj. s.m.;adivinhar
adjetiva;s.f.;adjetivo
adjetiva;s.f.;adjetivar
adjetivado;adj.;adjetivar
adjetivam;s.m.;adjetivar
adjetivo;adj. s.m.;adjetivar
adjudica;s.f.;adjudicar
adjudicado;adj.;adjudicar
adjudicando;adj. s.m.;adjudicar
adjunta;adj.;adjunto
adjunta;adj.;adjunto
adjura;s.f.;adjurar
adjurado;adj.;adjurar
adjuva;adj. s.2g.;adjuvar
administra;s.f.;administrar
